Sorszám,Cím,Belső_méret(mag/szél),Külső_méret(mag/szél),Ár,Téma,Technika,Leírás,Eladva
107,Erdőben nappal és éjjel,39.0x29.0,42.9x22.8,30000,természet,fa,kész,false
74,Indás nő,15.0x30.8,21.4x37.5,30000,női alak,fa,...,false
76,Hableány,15.0x31.0,21.4x37.5,30000,női alak,fa,kész,false
71,Erdőben a nő,15.2x31.2,23.5x39.5,30000,női arc,fa,...,false
99,Levelek között,24.1x24.1,27.8x27.8,30000,női alak,fa,kész,false
91,Cseresznyefa virág,8.1x25.0,18.4x35.3,30000,virág,...,kész,false
90,Kék pipacs,8.1x25.0,18.4x35.3,30000,virág,...,kész,false
62,Páva,18.4x23.5,26.9x31.9,30000,állat,porcelán,kész,false
104,Szellőrózsa,18.1x24.3,25.4x31.2,30000,virág,vászon,...,false
96,Indák királynője,11.1x20.1,19.8x28.8,30000,női alak,...,...,false
100,Fehér virágok (olaj vászon),18.2x24.3,25.3x31.5,30000,virág,vászon,...,false
102,Fehér pipacs,18.2x24.4,25.3x31.5,30000,virág,vászon,...,false
31,Pipacs, 16.1x16.1,24.6x24.6,30000,természet,tűzzománc,kész,false
101,Tulipánfa,18.1x24.6,25.3x31.4,30000,virág,vászon,...,false
105,Bordó tulipánok,18.1x24.6,25.3x31.4,30000,virág,vászon,...,false
1037,Dombos táj,9.4x6.5,18.1x13.1,30000,...,...,...,false
1036,Fa a domboldalon,6.1x9.6,14.3x17.8,30000,...,...,...,false
95,Tűz királynő,20.9x14.8,29.5x23.5,30000,női alak,fa,kész,false
24,Bimbós hölgy,15.1x12.1,27.4x21.4,30000,női arc,tűzzománc,kész,false
7,Balerina,20.1x15.3,29.5x24.5,30000,női alak,tűzzománc,kész,false
2,Dombos táj,20.1x15.0,26.9x21.737,30000,természet,tűzzománc,kész,false
37,Dombos táj,4.2x10.8,13.1x17.9,30000,természet,tűzzománc,kész,false
40,Magányos fa,6.3x9.2,12.1x15.1,30000,természet,tűzzománc,kész,false
79,Egymáshoz érve (háttal),24.0x11.6,34.3x17.9,30000,szerelem,...,kész,false
11,Fénybe néző,9.8x18.9,18.9x27.3,30000,női arc,tűzzománc,kész,false
86,Mandala 2,23.9x23.9,27.6x27.6,30000,vallási téma,vászon,...,false
26,Szent család,24.3x19.8,33.1x28.1,30000,...,tűzzománc,...,false
